Element;Node-1;Node-2;Node-3;Node-4
1162;221;1057;1067;1077
1163;1068;1149;1122;1129
1164;1115;1129;1122;1266
1165;1072;1181;1088;1080
1166;1063;265;1247;1073
1167;1247;265;1084;254
1168;1077;1085;1090;221
1169;1075;1059;243;1118
1170;180;1076;1159;1238
1171;1078;200;1303;1041
1172;1079;222;1126;1110
1173;1080;1088;1180;1089
1174;1071;1092;1270;1083
1175;1270;1271;1086;1083
1176;1238;1219;1082;180
1177;1232;1113;1213;1084
1178;1090;222;1079;1058
1179;1097;1086;1271;254
1180;1162;1116;1097;254
1181;1112;1103;1232;1096
1182;1140;1091;1215;1099
1183;1091;181;1195;1215
1184;1287;1071;1059;1286
1185;1101;232;1254;1234
1186;1094;1220;1245;1246
1187;1094;211;1102;1111
1188;1089;1096;1232;1084
1189;1098;429;433;276
1190;1238;1099;1215;1219
1191;1164;1130;1178;1133
1192;1151;1126;222;1093
1193;1103;277;1154;1186
1194;1104;1196;1140;1099
1195;1118;1105;1109;1234
1196;1114;1106;201;1121
1197;1115;1106;1108;189
1198;1108;1106;1114;1214
1199;1164;1109;233;1130
1200;1124;1110;1126;1197
1201;1213;1120;255;1162
1202;1129;1115;189;1060
1203;1106;1115;1266;200
1204;1117;430;432;277
1205;1118;1234;1254;1075
1206;1119;417;465;244
1207;1121;1220;1128;1125
1208;1144;1266;1122;199
1209;1123;1202;1214;1114
1210;212;1102;1124;1127
1211;191;1123;1125;1132
1212;1126;1151;1133;1197
1213;1164;1133;1151;1101
1214;1197;1133;1178;223
1215;1134;65;361;365
1216;659;1135;1226;151
1217;1136;183;550;532
1218;233;1109;1105;1146
1219;497;149;373;388
1220;499;234;374;395
1221;118;821;1139;1259
1222;191;1167;1140;1196
1223;878;1142;154;1355
1224;1263;1150;136;937
1225;11;297;1153;1171
1226;141;1156;921;1280
1227;152;691;1158;1298
1228;1160;1087;1107;190
1229;1160;1099;1238;1159
1230;1164;1101;1234;1109
1231;1165;409;456;159
1232;1166;410;457;170
1233;304;16;1169;1170
